Ref,Connectivity,Point.First.Moment,Point.Second.Moment,Visual.Entropy.R2,Visual.Entropy.R3,Visual.Entropy.R4,Visual.Entropy.R5,Visual.Entropy.R6,Visual.Entropy.R7,Visual.Integration..HH..R2,Visual.Integration..HH..R3,Visual.Integration..HH..R4,Visual.Integration..HH..R5,Visual.Integration..HH..R6,Visual.Integration..HH..R7,Visual.Integration..P.value..R2,Visual.Integration..P.value..R3,Visual.Integration..P.value..R4,Visual.Integration..P.value..R5,Visual.Integration..P.value..R6,Visual.Integration..P.value..R7,Visual.Integration..Tekl..R2,Visual.Integration..Tekl..R3,Visual.Integration..Tekl..R4,Visual.Integration..Tekl..R5,Visual.Integration..Tekl..R6,Visual.Integration..Tekl..R7,Visual.Mean.Depth.R2,Visual.Mean.Depth.R3,Visual.Mean.Depth.R4,Visual.Mean.Depth.R5,Visual.Mean.Depth.R6,Visual.Mean.Depth.R7,Visual.Node.Count.R2,Visual.Node.Count.R3,Visual.Node.Count.R4,Visual.Node.Count.R5,Visual.Node.Count.R6,Visual.Node.Count.R7,Visual.Relativised.Entropy.R2,Visual.Relativised.Entropy.R3,Visual.Relativised.Entropy.R4,Visual.Relativised.Entropy.R5,Visual.Relativised.Entropy.R6,Visual.Relativised.Entropy.R7,i,j,x,y,risk
3604517,847,8359954.5,101224200000,0.99545354,1.5739765,1.9258927,2.0038521,2.0038521,2.0038521,15.3202,9.1520824,7.334106,7.1281943,7.1281943,7.1281943,1.842048,1.0413123,0.81632107,0.79168659,0.79168659,0.79168659,0.98885614,0.91692936,0.89103103,0.88789332,0.88789332,0.88789332,1.5396739,1.9560995,2.2202301,2.2582583,2.2582583,2.2582583,1841,2575,2957,2998,2998,2998,2.12255,1.9883474,1.9083312,1.8724122,1.8724122,1.8724122,55,37,-39900,-16100,4
3604518,853,8246650.5,98418950000,0.99534094,1.5718493,1.9240403,2.0020251,2.0020251,2.0020251,15.32795,9.2308502,7.3770552,7.1681123,7.1681123,7.1681123,1.8404611,1.0502745,0.82110155,0.79612005,0.79612005,0.79612005,0.98874062,0.9179368,0.89166665,0.8884958,0.8884958,0.8884958,1.5401617,1.9479409,2.2131259,2.2512512,2.2512512,2.2512512,1856,2575,2957,2998,2998,2998,2.123132,1.9829978,1.904976,1.8692751,1.8692751,1.8692751,55,38,-39900,-15400,4
3604519,862,8219787,97593303000,0.99559844,1.5697463,1.922209,2.0002189,2.0002189,2.0002189,15.381378,9.322547,7.4267602,7.2142839,7.2142839,7.2142839,1.8443754,1.0607077,0.82663393,0.80124807,0.80124807,0.80124807,0.98905224,0.9191016,0.89239883,0.88918954,0.88918954,0.88918954,1.5390375,1.938617,2.2050068,2.2432432,2.2432432,2.2432432,1871,2575,2957,2998,2998,2998,2.1217923,1.976841,1.9011165,1.8656663,1.8656663,1.8656663,55,39,-39900,-14700,4
3604520,868,8154712,95975318000,0.9955439,1.5673479,1.9201206,1.9981589,1.9981589,1.9981589,15.394377,9.4003649,7.4686956,7.2532167,7.2532167,7.2532167,1.8436217,1.0695616,0.83130157,0.80557209,0.80557209,0.80557209,0.9890008,0.9200834,0.89301366,0.88977194,0.88977194,0.88977194,1.5392781,1.9308469,2.1982408,2.2365699,2.2365699,2.2365699,1885,2575,2957,2998,2998,2998,2.1220789,1.9720649,1.8982189,1.8629744,1.8629744,1.8629744,55,40,-39900,-14000,2
3604521,886,8334367.5,99228426000,0.99681866,1.5682646,1.9130393,1.9911745,1.9911745,1.9911745,15.590014,9.4575138,7.5778055,7.3544245,7.3544245,7.3544245,1.8647321,1.0747956,0.84344602,0.81681263,0.81681263,0.81681263,0.9906351,0.92073298,0.89460129,0.89127481,0.89127481,0.89127481,1.5331929,1.9263401,2.1809878,2.219553,2.219553,2.219553,1899,2594,2957,2998,2998,2998,2.1149282,1.9682605,1.8907598,1.8560447,1.8560447,1.8560447,55,41,-39900,-13300,2
3604522,906,8578740,103869220000,0.99751294,1.5694072,1.9010941,1.9564791,1.9564791,1.9564791,15.741499,9.4898653,7.7197533,7.5698175,7.5698175,7.5698175,1.878399,1.0757015,0.85856187,0.84073508,0.84073508,0.84073508,0.99168962,0.92098927,0.89661598,0.89442199,0.89442199,0.89442199,1.5293506,1.9256167,2.1602154,2.1848514,2.1848514,2.1848514,1926,2636,2972,2998,2998,2998,2.1105063,1.9672449,1.8834263,1.8561902,1.8561902,1.8561902,55,42,-39900,-12600,2
3604523,953,9533642,126806120000,0.99824059,1.580417,1.7655509,1.7655509,1.7655509,1.7655509,15.992853,9.1856852,8.5010824,8.5010824,8.5010824,8.5010824,1.8954657,1.0271236,0.94416517,0.94416517,0.94416517,0.94416517,0.993002,0.91644555,0.90729898,0.90729898,0.90729898,0.90729898,1.5246882,1.969697,2.0550551,2.0550551,2.0550551,2.0550551,2006,2872,2998,2998,2998,2998,2.1052363,1.9970672,1.9042835,1.9042835,1.9042835,1.9042835,55,43,-39900,-11900,2
3604524,981,10000294,136120040000,0.99962139,1.5811566,1.7662593,1.7662593,1.7662593,1.7662593,16.410875,9.2891207,8.5852509,8.5852509,8.5852509,8.5852509,1.9445256,1.0386895,0.95351332,0.95351332,0.95351332,0.95351332,0.99666184,0.91774118,0.90840954,0.90840954,0.90840954,0.90840954,1.5114542,1.9588994,2.0447114,2.0447114,2.0447114,2.0447114,2009,2872,2998,2998,2998,2998,2.0908499,1.9892972,1.8974766,1.8974766,1.8974766,1.8974766,55,44,-39900,-11200,2
3604525,1009,10531208,147517440000,0.99999356,1.5811061,1.7662109,1.7662109,1.7662109,1.7662109,16.842766,9.3983641,8.6739016,8.6739016,8.6739016,8.6739016,1.9950397,1.0509049,0.96335924,0.96335924,0.96335924,0.96335924,1.0003603,0.91909796,0.9095704,0.9095704,0.9095704,0.9095704,1.4985089,1.9477534,2.034034,2.034034,2.034034,2.034034,2013,2872,2998,2998,2998,2998,2.0775945,1.9818698,1.8910255,1.8910255,1.8910255,1.8910255,55,45,-39900,-10500,2
3604526,1006,10490898,147476770000,1,1.5811105,1.7662152,1.7662152,1.7662152,1.7662152,16.79254,9.3880138,8.665513,8.665513,8.665513,8.665513,1.9890903,1.0497475,0.96242756,0.96242756,0.96242756,0.96242756,0.99992812,0.91896987,0.90946096,0.90946096,0.90946096,0.90946096,1.5,1.9487983,2.0350351,2.0350351,2.0350351,2.0350351,2013,2872,2998,2998,2998,2998,2.0790801,1.9825161,1.891582,1.891582,1.891582,1.891582,55,46,-39900,-9800,2
3604527,1007,10584086,150655400000,0.99999928,1.58111,1.7662147,1.7662147,1.7662147,1.7662147,16.809248,9.3914614,8.6683073,8.6683073,8.6683073,8.6683073,1.9910696,1.050133,0.96273792,0.96273792,0.96273792,0.96273792,1.000072,0.91901255,0.90949738,0.90949738,0.90949738,0.90949738,1.499503,1.94845,2.0347013,2.0347013,2.0347013,2.0347013,2013,2872,2998,2998,2998,2998,2.0785837,1.9822997,1.8913957,1.8913957,1.8913957,1.8913957,55,47,-39900,-9100,2
3604528,1008,10701843,154216240000,0.99999839,1.5810297,1.7661377,1.7661377,1.7661377,1.7661377,16.819033,9.3983641,8.6739016,8.6739016,8.6739016,8.6739016,1.9920639,1.0509049,0.96335924,0.96335924,0.96335924,0.96335924,1.0001439,0.91909796,0.9095704,0.9095704,0.9095704,0.9095704,1.4992548,1.9477534,2.034034,2.034034,2.034034,2.034034,2014,2872,2998,2998,2998,2998,2.0783362,1.9818016,1.8909602,1.8909602,1.8909602,1.8909602,55,48,-39900,-8400,2
3604529,1008,10843970,158657590000,0.99999839,1.5810297,1.7661377,1.7661377,1.7661377,1.7661377,16.819033,9.3983641,8.6739016,8.6739016,8.6739016,8.6739016,1.9920639,1.0509049,0.96335924,0.96335924,0.96335924,0.96335924,1.0001439,0.91909796,0.9095704,0.9095704,0.9095704,0.9095704,1.4992548,1.9477534,2.034034,2.034034,2.034034,2.034034,2014,2872,2998,2998,2998,2998,2.0783362,1.9818016,1.8909602,1.8909602,1.8909602,1.8909602,55,49,-39900,-7700,2
3604530,986,10542878,153100500000,0.99976814,1.5812593,1.7663577,1.7663577,1.7663577,1.7663577,16.491163,9.3060217,8.5989828,8.5989828,8.5989828,8.5989828,1.9540389,1.0405794,0.95503843,0.95503843,0.95503843,0.95503843,0.99736381,0.91795188,0.90858996,0.90858996,0.90858996,0.90858996,1.5089642,1.9571577,2.0430431,2.0430431,2.0430431,2.0430431,2009,2872,2998,2998,2998,2998,2.0882375,1.9881225,1.8964546,1.8964546,1.8964546,1.8964546,55,50,-39900,-7000,2
3604531,952,10116934,146742760000,0.99843502,1.5804192,1.7788606,1.7788606,1.7788606,1.7788606,16.024767,9.1964417,8.4396925,8.4396925,8.4396925,8.4396925,1.9005126,1.0291209,0.93734699,0.93734699,0.93734699,0.93734699,0.99338025,0.91662049,0.90648377,0.90648377,0.90648377,0.90648377,1.5232849,1.9677984,2.0627294,2.0627294,2.0627294,2.0627294,1998,2858,2998,2998,2998,2998,2.1036706,1.9956532,1.8996922,1.8996922,1.8996922,1.8996922,55,51,-39900,-6300,2
3604532,922,9789402,142549830000,0.99866134,1.5605583,1.9150639,1.9945859,1.9945859,1.9945859,15.980226,9.8092947,7.6759744,7.4399171,7.4399171,7.4399171,1.9065543,1.116298,0.85441816,0.82630783,0.82630783,0.82630783,0.99382454,0.92515755,0.89601666,0.89253223,0.89253223,0.89253223,1.5215361,1.8918709,2.1658206,2.205539,2.205539,2.205539,1928,2572,2956,2998,2998,2998,2.1017327,1.946209,1.882787,1.848205,1.848205,1.848205,55,52,-39900,-5600,2
3604533,901,9689914,143392130000,0.99714214,1.5603191,1.9148557,1.9943806,1.9943806,1.9943806,15.676174,9.7034998,7.6206722,7.3887911,7.3887911,7.3887911,1.8709296,1.1042585,0.84826243,0.82062954,0.82062954,0.82062954,0.99111879,0.92386281,0.89522189,0.89178157,0.89178157,0.89178157,1.5314612,1.9015948,2.1742809,2.2138805,2.2138805,2.2138805,1924,2572,2956,2998,2998,2998,2.1129265,1.9535257,1.8875099,1.8526437,1.8526437,1.8526437,55,53,-39900,-4900,2
3604534,885,9727374,147227850000,0.99559277,1.5598243,1.9144254,1.9939563,1.9939563,1.9939563,15.450967,9.6246099,7.5791721,7.3504024,7.3504024,7.3504024,1.8445337,1.0952809,0.84364307,0.81636596,0.81636596,0.81636596,0.98908919,0.92289048,0.89462262,0.89121538,0.89121538,0.89121538,1.5390625,1.9089848,2.1807106,2.2202203,2.2202203,2.2202203,1921,2572,2956,2998,2998,2998,2.1218224,1.9593447,1.8913341,1.8562497,1.8562497,1.8562497,55,54,-39900,-4200,2
